epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,229.998,1.70535,3.14475,1.89554,0.60989,0.65066,0.65928,0.36437,1.62217,1.59657,1.98366,0.00333159,0.00333159,0.00333159
2,440.42,1.60052,2.00368,1.73624,0.69754,0.66243,0.71712,0.39128,1.62731,1.39073,1.93951,0.00659894,0.00659894,0.00659894
3,651.438,1.65133,2.00922,1.75541,0.70102,0.60792,0.65999,0.33178,1.7445,1.58602,2.00654,0.00980029,0.00980029,0.00980029
4,855.364,1.69828,2.06889,1.77935,0.5797,0.63891,0.64829,0.32246,1.76562,1.60264,2.02528,0.009703,0.009703,0.009703
5,1061.19,1.66345,1.94269,1.75473,0.73472,0.67463,0.71617,0.3961,1.62562,1.3488,1.87908,0.009604,0.009604,0.009604
6,1427.32,1.6382,1.81682,1.72889,0.69369,0.72586,0.73082,0.41007,1.57651,1.26946,1.80474,0.009505,0.009505,0.009505
7,1641.53,1.60505,1.71807,1.70397,0.76846,0.74883,0.76664,0.42806,1.56948,1.19148,1.78864,0.009406,0.009406,0.009406
8,1851.46,1.58335,1.66509,1.68222,0.71485,0.74494,0.76401,0.43917,1.54944,1.13811,1.7728,0.009307,0.009307,0.009307
9,2056.6,1.56294,1.5947,1.66798,0.76952,0.80054,0.81666,0.47245,1.52304,1.02542,1.72221,0.009208,0.009208,0.009208
10,2261.75,1.55065,1.52991,1.65042,0.8344,0.73713,0.80415,0.46346,1.51559,1.04157,1.74445,0.009109,0.009109,0.009109
11,2465.67,1.52117,1.46622,1.62049,0.77564,0.79313,0.8253,0.48262,1.50993,1.01626,1.73407,0.00901,0.00901,0.00901
12,2671.26,1.51002,1.4339,1.61715,0.76031,0.79553,0.819,0.47746,1.53134,0.9963,1.74896,0.008911,0.008911,0.008911
13,2875.63,1.51764,1.40444,1.62022,0.76728,0.80218,0.82267,0.48171,1.50142,0.98308,1.73249,0.008812,0.008812,0.008812
